 0	247
 1	503
 2	491
 3	496
 4	513
 5	498
 6	507
 7	476
 8	531
 9	471
10	492
11	518
12	539
13	479
14	515
15	493
16	497
17	523
18	521
19	506
20	505
21	490
22	497
23	525
24	503
25	500
26	545
27	537
28	456
29	527
30	504
31	481
32	482
33	520
34	519
35	469
36	488
37	495
38	527
39	505
40	509
41	488
42	505
43	489
44	468
45	486
46	516
47	493
48	524
49	494
50	504
51	485
52	559
53	468
54	541
55	508
56	511
57	481
58	504
59	498
60	475
61	528
62	513
63	457
64	512
65	482
66	498
67	467
68	513
69	525
70	447
71	463
72	474
73	526
74	469
75	511
76	484
77	524
78	486
79	538
80	496
81	491
82	458
83	510
84	481
85	491
86	489
87	514
88	480
89	500
90	513
91	544
92	482
93	486
94	462
95	542
96	488
97	510
98	480
99	506
100	263
