 0	241
 1	502
 2	473
 3	493
 4	473
 5	471
 6	468
 7	497
 8	496
 9	513
10	512
11	527
12	519
13	489
14	497
15	521
16	512
17	514
18	515
19	505
20	480
21	510
22	513
23	503
24	512
25	533
26	486
27	499
28	507
29	481
30	482
31	509
32	505
33	520
34	525
35	524
36	518
37	475
38	551
39	528
40	502
41	519
42	507
43	502
44	500
45	527
46	524
47	506
48	466
49	474
50	477
51	481
52	493
53	474
54	492
55	488
56	485
57	506
58	506
59	527
60	469
61	524
62	516
63	521
64	525
65	488
66	506
67	503
68	464
69	485
70	494
71	474
72	496
73	496
74	484
75	452
76	478
77	507
78	525
79	490
80	477
81	496
82	511
83	518
84	512
85	502
86	512
87	518
88	499
89	496
90	473
91	485
92	501
93	515
94	474
95	498
96	483
97	531
98	472
99	526
100	249
