 0	252
 1	502
 2	481
 3	499
 4	513
 5	478
 6	459
 7	509
 8	511
 9	537
10	529
11	512
12	518
13	484
14	494
15	518
16	475
17	509
18	543
19	525
20	519
21	497
22	483
23	472
24	517
25	488
26	508
27	487
28	514
29	456
30	466
31	522
32	504
33	460
34	557
35	539
36	471
37	516
38	502
39	485
40	497
41	506
42	517
43	526
44	494
45	525
46	477
47	531
48	482
49	492
50	493
51	527
52	513
53	498
54	459
55	486
56	493
57	514
58	481
59	496
60	491
61	475
62	536
63	494
64	475
65	531
66	449
67	498
68	483
69	515
70	540
71	521
72	525
73	532
74	506
75	486
76	488
77	511
78	477
79	480
80	500
81	455
82	470
83	508
84	499
85	503
86	530
87	462
88	524
89	498
90	504
91	483
92	471
93	468
94	482
95	539
96	481
97	519
98	533
99	504
100	236
