 0	535
 1	978
 2	1021
 3	1014
 4	1008
 5	1006
 6	1008
 7	984
 8	1015
 9	968
10	995
11	991
12	1057
13	937
14	1045
15	959
16	988
17	991
18	1066
19	971
20	1007
21	1006
22	1016
23	942
24	1023
25	982
26	1057
27	1027
28	1034
29	1007
30	960
31	989
32	988
33	1026
34	994
35	1036
36	932
37	965
38	963
39	1036
40	974
41	990
42	1013
43	981
44	1019
45	991
46	955
47	1016
48	1011
49	977
50	1045
51	1019
52	1027
53	1013
54	1027
55	983
56	1009
57	1053
58	1001
59	1013
60	1019
61	969
62	990
63	998
64	980
65	999
66	981
67	1046
68	1017
69	956
70	959
71	994
72	951
73	1004
74	1001
75	1004
76	1007
77	1043
78	989
79	901
80	969
81	1007
82	1004
83	1050
84	1016
85	938
86	1049
87	972
88	995
89	970
90	965
91	1056
92	1007
93	1009
94	982
95	1046
96	980
97	984
98	975
99	1089
100	485
