 5	1
 8	2
10	2
11	3
12	1
13	6
14	8
15	4
16	15
17	18
18	31
19	27
20	43
21	69
22	81
23	98
24	145
25	195
26	257
27	262
28	358
29	457
30	541
31	629
32	790
33	943
34	1086
35	1305
36	1433
37	1739
38	1931
39	2296
40	2353
41	2666
42	2914
43	3113
44	3404
45	3612
46	3673
47	3823
48	3788
49	4015
50	3847
51	3918
52	3913
53	3734
54	3618
55	3625
56	3289
57	3029
58	2882
59	2710
60	2481
61	2157
62	1960
63	1729
64	1541
65	1335
66	1100
67	941
68	814
69	669
70	574
71	442
72	355
73	273
74	214
75	186
76	158
77	107
78	83
79	48
80	43
81	20
82	21
83	15
84	9
85	9
86	6
87	5
88	1
89	1
90	1
